feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_star_branch,p95_abs_v_disc,p95_abs_v_star_branch,p99_abs_v_disc,p99_abs_v_star_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,108.0,star_branch,0.013555162074669868,0.014558409499558273,0.025118840592179975,0.027076626591409265,0.0334775784052235,0.036408310346872766,0.07401220430725379,0.07794093807971335,0.08754312830440517
A,urban_short,6.0,109.0,star_branch,0.01363780299766948,0.014643005181029688,0.02546993214639067,0.027498480101515947,0.03374907849846913,0.036883120806541894,0.07370704676786906,0.07964481190864658,0.09286304834115476
A,urban_short,6.0,110.0,star_branch,0.013549462997142964,0.014544475648252949,0.025323476549765394,0.027264078430606305,0.03294555631464438,0.036275457961187814,0.07343557831921409,0.076632522277392,0.10107286138201538
A,urban_short,6.0,111.0,star_branch,0.013662283020738205,0.014657235675302227,0.025599341375962436,0.027469838268544954,0.03422542712993744,0.036667525945207655,0.07282477262795437,0.07306816472781985,0.07135334808237001
A,urban_short,6.0,112.0,star_branch,0.01364999586393004,0.014606890056500213,0.025344028455188926,0.02728573339573629,0.03391826446040971,0.03681593843570393,0.07010215989140006,0.0766139031125425,0.08543108031593023
A,urban_short,6.0,113.0,star_branch,0.013512957922329382,0.014449919797560318,0.024948652632406917,0.026945434550034324,0.03364245739000814,0.035496885014676405,0.06933802951333556,0.0800356615264144,0.05512164593597836
A,urban_short,6.0,114.0,star_branch,0.01376602026168682,0.014683590917682166,0.0258546534347601,0.02763639300406569,0.035109912383804696,0.037739927055946455,0.06665475123185033,0.06891368990118207,0.07490803860151235
A,urban_short,6.0,115.0,star_branch,0.013598398230604242,0.014475344396632752,0.02514525120906503,0.026827772660433243,0.03417906760028654,0.036792129387979336,0.06448893106063591,0.06691209554357734,0.0764521085903141
A,urban_short,6.0,116.0,star_branch,0.013513155915970711,0.01438750814861387,0.02471535754002419,0.02671845819038283,0.03362960914557705,0.03599294016174611,0.06470377742106809,0.08104680044036629,0.07027530429921415
A,urban_short,6.0,117.0,star_branch,0.013646857843011072,0.014502262374198901,0.02518171058821499,0.026950567232285855,0.03445753910108755,0.03655127757428571,0.06268142755117102,0.07024370476637469,0.06076285561356517
A,urban_short,6.0,118.0,star_branch,0.01355687428578054,0.014381506357834032,0.025266822066859894,0.026820003592347107,0.03317974578380325,0.03549095716528261,0.06082759599817398,0.06147118626067245,0.06965729624750724
A,urban_short,6.0,119.0,star_branch,0.013752333664858465,0.014571927707954216,0.025618626251112064,0.02714665526980898,0.03381547363362223,0.03639570810562879,0.05959672467735939,0.05964523638852753,0.07630336632165549
A,urban_short,6.0,120.0,star_branch,0.013770034066815434,0.014548596547748946,0.025593497849853507,0.027239251875962163,0.034138200002830923,0.03619619523563272,0.05654034530021815,0.06430359913145191,0.060284233867958434
A,urban_short,6.0,121.0,star_branch,0.013693019680410886,0.014468852550171326,0.02576236918942047,0.027043270059565326,0.034929715285885364,0.03688945871432919,0.056659004943251434,0.04971983984574173,0.0561053364564851
A,urban_short,6.0,122.0,star_branch,0.013634641495980149,0.014364367102182937,0.02526031379515307,0.026578701121800524,0.034044834323751785,0.03599105434875456,0.053519970174348216,0.052192040737848,0.05716638261461512
A,urban_short,6.0,123.0,star_branch,0.013600186090830888,0.014295704055613928,0.025216777007371127,0.026547140398989262,0.033728473037014754,0.035843914068326335,0.051140327061550354,0.05275707483272964,0.06271973916488971
A,urban_short,6.0,124.0,star_branch,0.013604576441223013,0.014312145627199105,0.025428334738610288,0.026789920513235192,0.034145106583397034,0.035883280359727085,0.05200964462459102,0.05354600639881768,0.05090550155656078
A,urban_short,6.0,125.0,star_branch,0.01372010334429834,0.014386181438393122,0.025430127066878326,0.026535046165677402,0.03394814787255238,0.035827178960473535,0.04854760036276133,0.04344921658839002,0.05535003249589293
A,urban_short,6.0,126.0,star_branch,0.01376125850078377,0.014372591690372504,0.02540407032589806,0.026531035250764057,0.03445977781532171,0.03616014374209675,0.04442422105172398,0.04436158892683895,0.04934349652187874
A,urban_short,6.0,127.0,star_branch,0.013717131869929575,0.014300369701824986,0.025377669774795598,0.02647571455972597,0.0336859057142669,0.0354979870543584,0.04251893452843251,0.043268148520906415,0.05379345758021397
A,urban_short,6.0,128.0,star_branch,0.013938644770239983,0.01454343116463537,0.025639507527727222,0.02685669449725226,0.03528603661375876,0.03672367017223214,0.04338918197317505,0.0474731025238586,0.04074227928202104
A,urban_short,6.0,129.0,star_branch,0.013743177504670499,0.014306750461313541,0.025314801615344544,0.02657571288313241,0.03416501361237726,0.03612654599517885,0.0410074712672173,0.04980924942439859,0.05741348167035325
A,urban_short,6.0,130.0,star_branch,0.013902031460844722,0.01442729074747151,0.02586708704693184,0.026640429055948656,0.03487961501439198,0.03685083301791288,0.0377829159793077,0.029896756740088477,0.05651490140322748
